airport_name	iata	number_of_hotels	country_code	deeplink	
Xishuangbanna International Airport	JHG	15	cn	http://www.booking.com/airport/cn/JHG.html	
Lynchburg Regional (Preston Glenn Field)	LYH	25	us	http://www.booking.com/airport/us/LYH.html	
Council Bluffs Municipal	CBF	30	us	http://www.booking.com/airport/us/CBF.html	
Gan International Airport	GAN	5	mv	http://www.booking.com/airport/mv/GAN.html	
Gifu Airport	QGU	30	jp	http://www.booking.com/airport/jp/QGU.html	
Los Angeles	LSQ	9	cl	http://www.booking.com/airport/cl/LSQ.html	
Borrego Valley	L08	12	us	http://www.booking.com/airport/us/L08.html	
Preguiça	SNE	4	cv	http://www.booking.com/airport/cv/SNE.html	
Shelby Community	12G	18	us	http://www.booking.com/airport/us/12G.html	
Lago Vista-Allen	5R3	30	us	http://www.booking.com/airport/us/5R3.html	
Valencia	VLC	30	es	http://www.booking.com/airport/es/VLC.html	
Tracy Municipal	TCY	30	us	http://www.booking.com/airport/us/TCY.html	
Pocahontas Municipal	M70	1	us	http://www.booking.com/airport/us/M70.html	
Gustine	3O1	23	us	http://www.booking.com/airport/us/3O1.html	
Kjevik	KRS	30	no	http://www.booking.com/airport/no/KRS.html	
Yarmouth	YQI	13	ca	http://www.booking.com/airport/ca/YQI.html	
Black Forest	LHA	30	de	http://www.booking.com/airport/de/LHA.html	
Atsugi Naf	NJA	31	jp	http://www.booking.com/airport/jp/NJA.html	
Greenwood-Leflore	GWO	2	us	http://www.booking.com/airport/us/GWO.html	
Aristotelis	KSO	30	gr	http://www.booking.com/airport/gr/KSO.html	
Hutchinson County	BGD	4	us	http://www.booking.com/airport/us/BGD.html	
Rutland State	RUT	30	us	http://www.booking.com/airport/us/RUT.html	
Antonio Nariño	PSO	14	co	http://www.booking.com/airport/co/PSO.html	
Don Quijote Airport	CQM	30	es	http://www.booking.com/airport/es/CQM.html	
Ottawa/Rockcliffe	YRO	30	ca	http://www.booking.com/airport/ca/YRO.html	
Sea-Tac	SEA	30	us	http://www.booking.com/airport/us/SEA.html	
Esperance	EPR	15	au	http://www.booking.com/airport/au/EPR.html	
Sioux Gateway	SUX	18	us	http://www.booking.com/airport/us/SUX.html	
Capitán José Quiñones Gonzales Internationa	CIX	30	pe	http://www.booking.com/airport/pe/CIX.html	
Whiting Field Naval Air Station North	NSE	4	us	http://www.booking.com/airport/us/NSE.html	
RAF Kinloss	FSS	30	gb	http://www.booking.com/airport/gb/FSS.html	
Madison Municipal	52A	10	us	http://www.booking.com/airport/us/52A.html	
Skiathos	JSI	30	gr	http://www.booking.com/airport/gr/JSI.html	
Aragarcas	ARS	4	br	http://www.booking.com/airport/br/ARS.html	
Erzincan	ERC	7	tr	http://www.booking.com/airport/tr/ERC.html	
Sungai Pakning Bengkalis	SEQ	30	us	http://www.booking.com/airport/us/SEQ.html	
St Elmo	2R5	30	us	http://www.booking.com/airport/us/2R5.html	
Tarapoa	TPC	3	ec	http://www.booking.com/airport/ec/TPC.html	
Semoutiers	XCW	30	fr	http://www.booking.com/airport/fr/XCW.html	
Sauk Centre Municipal	D39	6	us	http://www.booking.com/airport/us/D39.html	
Swift Current	YYN	12	ca	http://www.booking.com/airport/ca/YYN.html	
